NEName,,SiteCode,SiteName,Vendor,Suffix,SiteCategory,Powertype,Area,Office,SiteSeverity
BALYANA,#N/A,0864UP,U_O_LU-ESTRN-BRDR_0864UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
EDFO_EXCHANGE,#N/A,0880UP,1111_S_AS-IBRIM_0880UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
EDFO_EXCHANGE,#N/A,0915UP,LU-AS-WST-RD-5_0915UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
QUENA_NORTH,#N/A,0924UP,LU-SHARQ-ARMNT_0924UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
QOUS_EXCH,#N/A,0925UP,QN-AWLAD-JABIR_0925UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
SOHAG_EXC_2,#N/A,0926UP,QN-FAU-BAHARI_0926UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
BOSH-EX02,#N/A,0928UP,QN-AULAD-AMR_0928UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
KOMOMBO_EX,#N/A,0929UP,QN-IZAB-QNBRAH_0929UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
SOHAG_ENTRANCE_2,#N/A,0955UP,QN-SHRQI-SHMHUD_0955UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
MAGHAGHA_2,#N/A,1015UP,0121_S_AS-I-OLDCTARCT_1015UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
BADARI_3,#N/A,3034UP,QN-ABO-HIZAM_3034UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
SOHAG_SUBURBAN1,#N/A,3035UP,QN-AWLAD-NEGM_3035UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
SOHAG_EX_1,#N/A,3064UP,QN-KOAIMAT_3064UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
ASWAN_2_V,#N/A,3065UP,QN-ELARAKI_3065UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
ASWAN_4_V,#N/A,3075UP,QN-ASHRAF-KBLY_3075UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
QUENA_3,#N/A,3076UP,QN-HRAGEYA_3076UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
QOUS_EX02,#N/A,3080UP,1131_S_AS-MNSHYA-KBLY_3080UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
QUENA_3,#N/A,3083UP,1151_S_AS-KAJOJ_3083UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
SOHAG_EX_1,#N/A,3086UP,SG-MAZATA-SHARQ_3086UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BALYANA,#N/A,3088UP,0751_D_SG-HAWAWISH_3088UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
SOHAG_EX_1,#N/A,3089UP,SG-GALAWEYA_3089UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
SOHAG_EX_1,#N/A,3094UP,QN-SAMHOUD_3094UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
NAG_HAMADI_EX_2,#N/A,3095UP,QN-KHARANQA_3095UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
SOHAG_EX_1,#N/A,3119UP,QN-BARAHMA_3119UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
QUENA_WEST,#N/A,3124UP,01_S_AS-SILWA-BHRY_3124UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
QUENA_NORTH,#N/A,3136UP,LU-TOD_3136UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
ASYOUT_5,#N/A,3141UP,QN-KALAHEEN_3141UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
BOSH_NODAL,#N/A,3149UP,1171_S_AS-FARESIA_3149UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
SOHAG_1,#N/A,3150UP,1181_S_AS-FARES_3150UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
BOSH-EX02,#N/A,3161UP,QN-KARNAK-VLG_3161UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
QUENA_2,#N/A,3164UP,QN-HLFAYA-BHRI_3164UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
EDFO3_EVO,#N/A,3165UP,QN-ELHUW_3165UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
SOHAG_EX_1,#N/A,3205UP,1801_V_AS-ELFOUZA_3205UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
ASYOUT_4,#N/A,3206UP,1191_S_AS-BALANA_3206UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
SOHAG_EX_1,#N/A,3215UP,SG-KHRFT-GIRGA_3215UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
KOMOMBO_EX_2,#N/A,3218UP,1201_S_AS-AQLIT_3218UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
KOMOMBO_EX,#N/A,3221UP,SG-AWLAD-NOSIR_3221UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
EDFO3_EVO,#N/A,3231UP,UPPER-RS-RD-7_3231UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
ABO_QURQAS_CITY_2,#N/A,3232UP,UPPER-RS-RD-8_3232UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
ASYOUT_6,#N/A,3233UP,UPPER-RS-RD-9_3233UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
QUENA_NORTH,#N/A,3237UP,UPPER-RS-RD-13_3237UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BENISUEF_4,#N/A,3238UP,UPPER-RS-RD-14_3238UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
ABO_QURQAS_CITY1,#N/A,3250UP,SG-ENIBES_3250UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
GIRGA_TOWN_1,#N/A,3266UP,1841_S_AS-RUMADI-BHRY_3266UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
SOHAG_ENTRANCE_3,#N/A,3268UP,QN-SHARQ-BHGORA_3268UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
QUENA_NORTH,#N/A,3274UP,QN-ELSALIMAT_3274UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
TAHTA_EX,#N/A,3286UP,SG-BUTAKH_3286UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
TAHTA_EX,#N/A,3288UP,SG-AWLAD-ALI_3288UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
EL_QARAN,#N/A,3296UP,SG-SHANDAWEL-2_3296UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
NAG_HAMADI_EX_2,#N/A,3302UP,SG-KHAZENDARI_3302UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BIBA_2,#N/A,3313UP,SG-ELATAMNA_3313UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BANI_ATTEYA_2,#N/A,3329UP,SG-NOSAIRAT_3329UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
EDFO_EXCHANGE,#N/A,3330UP,SG-GZIRT-HAMZA_3330UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
MAGHAGHA_2,#N/A,3335UP,01_S_LU-MADAMOUD_3335UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
ASWAN_5,#N/A,3336UP,QN-GZIRT-MTIRA_3336UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
BIBA_2,#N/A,3340UP,01_S_QN-DIMOQRAT_3340UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
QUENA_3,#N/A,3392UP,1231_S_AS-ATMOUR_3392UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
BENISUEF_EXC,#N/A,3393UP,1241_S_AS-NMRA-7BHRY_3393UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
BOSH_NODAL,#N/A,3402UP,01_S_LU-GIBIL_3402UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
ABO_QURQAS_CITY_2,#N/A,3405UP,QN-GABALAW_3405UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
EL_QARAN,#N/A,3420UP,QN-MANAA-SHARQ_3420UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
ABO_TIG_1,#N/A,3439UP,0411_G_AS-ASWAN-KHZAN_3439UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
MAGHAGHA_2,#N/A,3440UP,QN-ASHRAF-GHRB_3440UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
BADARI_2,#N/A,3449UP,QN-QUMANA_3449UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
BENISUEF_EXC_2,#N/A,3451UP,01_S_AS-NAG-SHMKHYA_3451UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
MAGHAGHA_2,#N/A,3454UP,1261_S_AS-NAGAA-WANAS_3454UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
ASWAN_5,#N/A,3457UP,QN-ABO-AMORI_3457UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
BIBA,#N/A,3461UP,LU-HAMAMSA_3461UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
EL_QARAN,#N/A,3499UP,1871_S_AS-GAFAR-SADK_3499UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
#N/A,#N/A,3500UP,1971_OO_AS-EDWA_3500UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
EDFO_EXCHANGE,#N/A,3502UP,1541_S_AS-MAHAMID_3502UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
SOHAG_EX_1,#N/A,3519UP,QN-RAWATIB_3519UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BADARI_1,#N/A,3522UP,QN-NIGMA-HMRAN_3522UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
SOHAG_ENTRANCE_3,#N/A,3552UP,SG-AQSAS_3552UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
SOHAG_ENTRANCE_3,#N/A,3554UP,SG-BAIT-KHALAF_3554UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
LUXOR_3,#N/A,3556UP,U_S_SG-ELBAKHAYTA_3556UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BANI_ATTEYA_2,#N/A,3563UP,SG-AWAMIR_3563UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
ASWAN_5,#N/A,3573UP,1501_S_AS-QANAN_3573UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
BENISUEF_EXC_2,#N/A,3574UP,SG-SAWAMAA-EST_3574UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BALYANA,#N/A,3575UP,SG-SHORANYIA_3575UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BADARI04,#N/A,3576UP,AS-HAGR-SBAEIA_3576UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
#N/A,#N/A,3586UP,SG-MASHAWDA_3586UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BIBA_2,#N/A,3587UP,SG-YEHIA-QBLY_3587UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BALYANA_2,#N/A,3597UP,SG-HARGA-BHRY_3597UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
DAYROUT_3,#N/A,3599UP,SG-SAQREYA_3599UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
#N/A,#N/A,3679UP,SG-ELZARA_3679UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
EL_QARAN,#N/A,3682UP,SG-SHIKH-SHEBL_3682UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
EDFO3_EVO,#N/A,3685UP,1411_G_QN-DBABYA_3685UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
BADARI_2,#N/A,3686UP,SG-ELHALAFY_3686UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
MAGHAGHA,#N/A,3715UP,SG-BARDIS-BORDR_3715UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
ABO_QURQAS_CITY_2,#N/A,3737UP,SG-BANI-WESHAH_3737UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
#N/A,#N/A,3775UP,SG-GIRGA-RW_3775UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
BIBA,#N/A,3780UP,1301_S_AS-NMRA-7-QBLY_3780UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
QOUS_EXCH,#N/A,3790UP,QN-ASIRAT_3790UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
ASWAN_5,#N/A,3810UP,QN-NAGA-SALLAM_3810UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
BALYANA_2,#N/A,3877UP,0821_S_AS-SIMPLE-GAP4_3877UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
NAG_HAMADI_EX_2,#N/A,3887UP,QN-NAGA-ELGBIL_3887UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Qena,#N/A
ASWAN_5,#N/A,4004UP,SG-MROOR-GIRGA_4004UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Sohag,#N/A
RNC 14,#N/A,4121UP,1341_S_AS-MNSHT-RGHMA_4121UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Idfu ,#N/A
#N/A,#N/A,4136UP,LU-AWAMEYA_4136UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
#N/A,#N/A,4139UP,1581_S_LU-ESNA-STH_4139UP,Alcatel,#N/A,#N/A,Main Power,South Upper,Luxor,#N/A
EL_MAHROUSA,2G,3224UP,0261_S_AS-SDAKA-CTY-2_3224UP,Nokia,S,Normal,Main Power,South Upper,Aswan,#N/A
ASWAN_5,3G,0117UP,SG-SAQULTA-TWN_0117UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
SAMALOUT_2,3G,3765UP,SG-NAGA-ELNGAR_3765UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
#N/A,3G,0597UP,SG-THTATIMA-HW_0597UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
ABO-TIG02,3G,3442UP,SG-SALAMONI_3442UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
ABO_QURQAS_CITY_2,3G,3166UP,SG-MADMAR_3166UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
MINYA_2,3G,3025UP,SG-BANAWIT_3025UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
NAG3_HAMMADI,2G,0627UP,0191_E_AS-MOVENPICK_0627UP,Nokia,E,Normal,Main Power,South Upper,Aswan,#N/A
BENISUEF_4,2G,0765UP,0661_G_AS-STH-GADEED_0765UP,Nokia,G,Normal,Main Power,South Upper,Aswan,#N/A
ASWAN_4_V,2G,0688UP,0271_S_AS-SEIL-GADED_0688UP,Nokia,S,Normal,Main Power,South Upper,Aswan,#N/A
TAHTA_EX,2G,0838UP,0161_S_SG-GABRA-BRIDG_0838UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
KOMOMBO_EX,2G,0703UP,0111_N_SG-SHEIKH-KHALIFA_0703UP,Nokia,N,NODAL,Main Power,South Upper,Sohag,#N/A
BIBA_2,2G,0964UP,0181_S_SG-SALLA_0964UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
MANFALOUT_2,2G,3591UP,0281_E_SG-KOM-BADAR_3591UP,Nokia,E,Normal,Main Power,South Upper,Sohag,#N/A
MANFALOUT_2,2G,3893UP,SG-KWAMIL-BHRY_3893UP,Nokia,O,OFFAIR,Main Power,South Upper,Sohag,#N/A
ASWAN_5,2G,0032UP,01_N_SG-SOHAG-NTH_0032UP,Nokia,N,NODAL,Main Power,South Upper,Sohag,#N/A
QUENA_3,2G,0105UP,0701_R_SG-AKHMIM-WST_0105UP,Nokia,R,Normal,Main Power,South Upper,Sohag,#N/A
TAHTA_EX,2G,0125UP,0411_N_SG-SOHAG-TWN_0125UP,Nokia,N,NODAL,Main Power,South Upper,Sohag,#N/A
KOMOMBO_EX,2G,0442UP,0451_N_SG-SOHAG-CTR_0442UP,Nokia,N,NODAL,Main Power,South Upper,Sohag,#N/A
NAG_HAMADI_EX_2,2G,0478UP,0471_S_SG-AWLAD-AZZAZ_0478UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
#N/A,2G,0602UP,0511_E_SG-MINSHAH1_0602UP,Nokia,E,Normal,Main Power,South Upper,Sohag,#N/A
NAG_HAMADI_EX_2,2G,0704UP,0551_S_SG-MUHAFZA_0704UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
SOHAG_1,2G,3039UP,0591_S_SG-RWAFE-ISWYA_3039UP,Nokia,S,Normal,Main Power,South Upper,Sohag,#N/A
QUENA_3,2G,3681UP,0611_G_SG-BAGYA_3681UP,Nokia,G,Normal,Main Power,South Upper,Sohag,#N/A
QOUSSEYA,2G,3812UP,01_E_SG-MNSHAH2_3812UP,Nokia,E,Normal,Main Power,South Upper,Sohag,#N/A
ASWAN_5,2G,0104UP,0681_S_SG-AKHMIM-EST_0104UP,Nokia,OO,#N/A,Main Power,South Upper,Sohag,#N/A
10-RAMADAN-EXCH,#N/A,3984UP,0131_S_AS-ISIS-ISLAND_3984UP,#N/A,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
ASWAN_5,2G,4178UP,0421_S_AS-ASWAN-AKAAD_4178UP,#N/A,S,Normal,Main Power,South Upper,Aswan,#N/A
#N/A,#N/A,4012UP,1611_S_AS-EDFO-EDGE_4012UP,#N/A,#N/A,#N/A,Main Power,South Upper,Idfu,#N/A
#N/A,#N/A,4016UP,0891_S_AS-ASWAN-SADAT_4016UP,#N/A,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
#N/A,#N/A,4176UP,U_S_AS-GABAL-TAQOK_4176UP,#N/A,#N/A,#N/A,Main Power,South Upper,Aswan,#N/A
RASGHAREB-EXCH,2G,0059RE,U_N_0059RE_RS-RAS-GHARIB,Huawei,N,NODAL,#N/A,#N/A,Ras Ghareb ,#N/A
RASGHAREB-EXCH,2G,0438RE,U_S_0438RE_RS-RSGHARB-EST,Huawei,S,Normal,#N/A,#N/A,Ras Ghareb ,#N/A
October-2_RNC,3G,0059RE,U_N_0059RE_RS-RAS-GHARIB,Huawei,N,NODAL,#N/A,#N/A,Ras Ghareb ,#N/A
October-2_RNC,3G,0438RE,U_S_0438RE_RS-RSGHARB-EST,Huawei,S,Normal,#N/A,#N/A,Ras Ghareb ,#N/A
6_OCT_HUA,2G,0785UP,00754_H_0785UP_GZ-WAHAT-RD-4,Huawei,H,NODAL,#N/A,North Upper,Bahareya ,#N/A
BADRASHEN-EXCH,2G,3370UP,03013_S_3370UP_GZ-BALIDA,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
BADRASHEN-EXCH,2G,0962UP,03026_G_0962UP_GZ-MATANIA,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,3370UP,03013_S_3370UP_GZ-BALIDA,Huawei,S,Normal,#N/A,North Upper,Beni Suef,#N/A
October_RNC,3G,0962UP,03026_G_0962UP_GZ-MATANIA,Huawei,G,Normal,#N/A,North Upper,Beni Suef,#N/A
ASYOUT_6,#N/A,0093UP,FM-HADIR_0093UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Fayoum,#N/A
MALLAWI_EX,#N/A,0186UP,FM-TAMYA_0186UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Fayoum,#N/A
SAMALOUT_2,#N/A,0201UP,CAIRO-ASYUT-5_0201UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
BANI_ATTEYA_2,#N/A,0622UP,MN-BARSHA_0622UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Menya,#N/A
DAYROUT_3,#N/A,3643UP,WG-SHRK-OWY-2-BR_3643UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Dahkla,#N/A
MAGHAGHA,#N/A,3696UP,AT-NAZLT-TAHR_3696UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Asyout,#N/A
NAG_HAMADI_EX_2,#N/A,3843UP,BS-ZERABY_3843UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Beni Suef,#N/A
ASYOUT_5,#N/A,3729UP,WAHT-BHREY-ENT_3729UP,Alcatel,#N/A,#N/A,(1)G,North Upper,Bahareya ,#N/A
BALYANA_2,3G,3763UP,AT-ABU-KARIM_3763UP,Nokia,S,Normal,(1)G,North Upper,Asyout,#N/A
DEIR_MAWAS,#N/A,3482UP,MN-KFR-MADAWIR_3482UP,Alcatel,#N/A,#N/A,EC,North Upper,Menya,#N/A
FAYOUM_2,#N/A,3091UP,BOSH-2_3091UP,Alcatel,#N/A,#N/A,EC+(1)G,North Upper,Beni Suef,#N/A
MINYA_1_EVO_V,#N/A,0366UP,CAIRO-ASWAN-7-NR_0366UP,Alcatel,#N/A,#N/A,Solar,North Upper,Menya,#N/A
ASYOUT_5,#N/A,0060UP,BS-WASTA-STH_0060UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
MAGHAGHA,#N/A,0084UP,MN-MALLAWI-NTH_0084UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
SAMALOUT_2,#N/A,0089UP,WG-OASIS-KHARGA_0089UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Elkharga,#N/A
SAMALOUT_2,#N/A,0204UP,CAIRO-ASYUT-8_0204UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
DAYROUT_2,#N/A,0207UP,CAIRO-ASYUT-11_0207UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
ASYOUT_2,#N/A,0278UP,BS-FENT-EST_0278UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
QUENA_WEST,#N/A,0348UP,ASYUT-KHARGA-2-NR_0348UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
QUENA_WEST,#N/A,0367UP,CAIRO-ASWAN-8-NR_0367UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
6_OCT_HUA,#N/A,0414UP,MN-MINBAL_0414UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
EBSHWAY_1,#N/A,0430UP,FM-SILLA_0430UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Fayoum,#N/A
ASWAN_5,#N/A,0796UP,GZ-WAHAT-RD-15_0796UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Bahareya ,#N/A
ABO_TIG_1,#N/A,0814UP,WG-OWAY-DAKH-8-NR_0814UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Dahkla,#N/A
BIBA,#N/A,0818UP,WG-OWAY-DAKH-7-NR_0818UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Dahkla,#N/A
BADARI_3,#N/A,0820UP,WG-OWAY-DAKH-6-NR_0820UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Dahkla,#N/A
EBSHWAY_1,#N/A,0863UP,FM-GHARAA_0863UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Fayoum,#N/A
FAYOUM_2,#N/A,0920UP,FM-SIRSINA_0920UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Fayoum,#N/A
EBSHWAY_1,#N/A,3048UP,FM-SBEIHY_3048UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Fayoum,#N/A
BADARI_1,#N/A,3053UP,BS-TALA_3053UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
10-RAMADAN-EXCH,#N/A,3110UP,MN-RAWDAH-2_3110UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
#N/A,#N/A,3194UP,MN-QALANDOL_3194UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
EL_MAHROUSA,#N/A,3271UP,MN-SAFANIA_3271UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
SOHAG_EX_1,#N/A,3282UP,WG-DAKH-KHRG-3_3282UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Elkharga,#N/A
LUXOR_3,#N/A,3317UP,SG-KOM-ASHQAW_3317UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
QOUS_EXCH,#N/A,3321UP,SG-GARIDAT_3321UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
SAMALOUT_2,#N/A,3400UP,BS-BADHAL_3400UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
BANI_ATTEYA_2,#N/A,3469UP,BS-ELRIYAD_3469UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
MAGHAGHA_2,#N/A,3509UP,FM-NAWWARA_3509UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Fayoum,#N/A
MOVENPICK_LUXOR,#N/A,3536UP,BS-DALAS_3536UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Beni Suef,#N/A
ASYOUT_5,#N/A,3674UP,FM-DIMO_3674UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Fayoum,#N/A
NAG3_HAMMADI,#N/A,3732UP,MN-ABU-SIDHUM_3732UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Menya,#N/A
BALYANA,#N/A,3755UP,AT-NZLT-MOSTFA_3755UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
DAYROUT,#N/A,3797UP,AT-AWAJAH_3797UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
#N/A,#N/A,4024UP,ARMY-EAST-RD7_4024UP,Alcatel,#N/A,#N/A,Main Power,North Upper,Asyout,#N/A
EBSHWAY_1,3G,3137UP,FM-HAMOLY_3137UP,Nokia,S,Normal,Main Power,North Upper,Fayoum,#N/A
10-RAMADAN-EXCH,3G,8503UP,MS-DER-DRUNKA-1_8503UP,Nokia,S,Normal,Main Power,North Upper,Asyout,#N/A
DAYROUT_3,3G,3628UP,AT-ARB-SHANBLA_3628UP,Nokia,S,Normal,Main Power,North Upper,Asyout,#N/A
BANI_ATTEYA_2,2G,3947UP,BS-NZLT-SHERIF_3947UP,Alcatel,S,Normal,Main Power,North Upper,Beni Suef,#N/A
