NEName,,SiteCode,SiteName,Vendor,Suffix,SiteCategory,Powertype,Area,Office,SiteSeverity
10223,LTE,0686CA,U_S_0686CA_PLATENIUM-MALL,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10157,LTE,0240CA,U_S_0240CA_TALAAT-BASYONI-NB2,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10165,LTE,0337CA,U_S_0337CA_AHMED-ORABI,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10226,LTE,0071CA,U_N_0071CA_SHEHAB,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Bronze
10162,LTE,0182CA,U_S_0182CA_OMAR-TOUSOUN,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10220,LTE,0048CA,U_A_0048CA_MOHANDSEEN,Huawei,A,VIP & NODAL,Main Power,Cairo West,Mohandseen,Golden
10163,LTE,3468CA,U_S_3468CA_SUDAN-ST,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10170,LTE,0223CA,U_S_0223CA_WADI-NIL,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Golden
10168,LTE,0804CA,U_S_0804CA_QODS-SHARIF,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10236,LTE,0067CA,U_S_0067CA_SAHAFEEN,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10164,LTE,0183CA,U_S_0183CA_AMIR,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Golden
11036,LTE,0184CA,U_S_0184CA_KHALIG-ARABI,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10166,LTE,0123CA,U_S_0123CA_MIT-OQBA,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10174,LTE,0086CA,U_T_0086CA_GALAA-SQR,Huawei,T,NODAL,Main Power,Cairo West,Mohandseen,Golden
10169,LTE,0687CA,U_S_0687CA_LEBNAN-ST,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10506,LTE,1137CA,U_S_1137CA_I-SHRTN-GZ-HTL,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10175,LTE,0224CA,U_Z_0224CA_HASSAN-MOHAMED,Huawei,Z,VIP,Main Power,Cairo West,Mohandseen,Silver
10606,LTE,1044CA,U_S_1044CA_I-SEMRAMIS-MAL,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10176,LTE,0840CA,U_S_0840CA_MESAHA-ST,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Silver
10360,LTE,0339CA,U_Y_0339CA_CA-CLUB,Huawei,Y,Normal,Main Power,Cairo West,Mohandseen,Bronze
10267,LTE,3716CA,U_Z_3716CA_ABD-MNEM-RYAD,Huawei,Z,VIP,Main Power,Cairo West,Mohandseen,Silver
10172,LTE,0226CA,U_S_0226CA_ABOUL-FETOUH,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10361,LTE,0130CA,U_Y_0130CA_AHLI,Huawei,Y,Normal,Main Power,Cairo West,Mohandseen,Bronze
10181,LTE,0114CA,U_Y_0114CA_MESSAHA,Huawei,Y,Normal,Main Power,Cairo West,Mohandseen,Bronze
10460,LTE,1136CA,U_S_1136CA_ I-RAMSIS-HLTN,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10457,LTE,1000CA,U_X_1000CA_I-SEMRAMIS-HTL,Huawei,X,Normal,Main Power,Cairo West,Mohandseen,Bronze
10171,LTE,0107CA,U_N_0107CA_CHAMPOLLEON,Huawei,N,NODAL,Main Power,Cairo West,Mohandseen,Silver
10363,LTE,3902CA,U_S_3902CA_TERSANA-CLB,Huawei,S,Normal,Main Power,Cairo West,Mohandseen,Bronze
10269,LTE,0575CA,U_V_0575CA_WABOUR-NOUR,Huawei,V,VIP,Main Power,Cairo West,Mohandseen,Silver
10232,LTE,0228CA,U_V_0228CA_OMAN-PLACE-DKI,Huawei,V,VIP,Main Power,Cairo West,Mohandseen,Bronze
10732,LTE,0668UP,U_S_0668UP_6OCT-IND-NTH2,Huawei,S,Normal,Main Power,Cairo West,October,Silver
10831,LTE,0220UP,U_S_0220UP_PG,Huawei,S,Normal,Main Power,Cairo West,October,Silver
10832,LTE,0730UP,U_S_0730UP_6OCT-6TH-DST,Huawei,S,Normal,Main Power,Cairo West,October,Golden
10912,LTE,0568UP,U_N_0568UP_6OCT-DAEWOO,Huawei,N,NODAL,Main Power,Cairo West,October,Golden
