SiteCode,TPG,Power Fees,Area,Host,Vfcode,Sharing Status,PowerSource,Year Target,CG Date,ON-AIR,Counting date
0489SI,GF,GF,SI,VF,R2597,VF ON AIR,VF 50 KVA,2011,22-May-11,31-Jul-11,1-Jun-11
3147UP,GF,GF,UP,VF,U4518,VF ON AIR,VF Commercial,2011,17-Aug-11,23-Nov-11,1-Sep-11
3322UP,GF,GF,UP,VF,U4671,VF ON AIR,VF Commercial,2011,18-May-11,10-Aug-11,1-Jun-11
3455UP,GF,GF,UP,VF,U4944,VF ON AIR,VF Commercial,2011,18-May-11,27-Jun-11,1-Jun-11
3462UP,GF,GF,UP,VF,U4947,VF ON AIR,VF Commercial,2011,22-May-11,22-Jun-11,1-Jun-11
3461UP,GF,GF,UP,VF,U4950,VF ON AIR,VF Commercial,2011,22-May-11,19-Jun-11,1-Jun-11
3457UP,GF,GF,UP,VF,U4554,VF ON AIR,VF Commercial,2011,30-Nov-11,30-Dec-11,1-Jan-12
3459UP,GF,GF,UP,VF,U4943,VF ON AIR,VF Commercial,2011,24-Aug-11,31-Oct-11,1-Sep-11
3066UP,GF,GF,UP,VF,U3913,VF ON AIR,MN 27 KVA,2011,16-Jun-11,14-Aug-11,1-Jul-11
0490SI,GF,GF,SI,VF,R2534 ,VF ON AIR,VF Commercial,2011,17-Aug-11,4-Dec-11,1-Sep-11
3584DE,GF,GF,DE,VF,5538,VF ON AIR,VF Commercial,2011,10-Apr-11,26-Apr-11,1-May-11
3302UP,GF,GF,UP,VF,U4753,VF ON AIR,VF Commercial,2011,23-Feb-11,31-Mar-11,1-Mar-11
3288UP,GF,GF,UP,VF,U3907,VF ON AIR,VF Commercial,2011,28-Feb-11,7-Apr-11,1-Apr-11
3250UP,GF,GF,UP,VF,U4752,VF ON AIR,VF Commercial,2011,8-Mar-11,14-Apr-11,1-Apr-11
3451UP,GF,GF,UP,VF,U4932,VF ON AIR,VF Commercial,2011,14-Jun-11,19-Jul-11,1-Jul-11
3153UP,GF,GF,UP,VF,U4488,VF ON AIR,VF Commercial,2011,16-Mar-11,25-Apr-11,1-Apr-11
